N,P,K,temperature,humidity,ph,rainfall,label,yield
99.17,18.62,45.72,27.82,91.1,6.99,25.76,muskmelon,85.82
102.01,48.89,51.55,23.03,91.58,6.6,43.98,watermelon,127.05
51.9,60.7,57.71,33.72,89.83,6.57,137.78,papaya,138.74
50.88,63.11,58.17,32.2,89.27,6.93,149.89,papaya,146.88
19.97,118.1,197.84,21.35,91.34,6.52,120.77,apple,59.47
20.43,24.36,31.03,34.7,42.74,6.57,94.58,mango,59.3
21.99,139.66,205.0,19.61,92.32,6.49,104.8,apple,73.15
23.59,47.03,15.29,29.36,44.09,6.97,38.64,mothbeans,21.51
27.65,52.01,21.05,26.3,82.31,6.85,49.89,mungbean,25.92
17.31,69.7,18.32,25.72,62.28,6.89,46.39,lentil,27.94
40.18,66.18,19.62,29.0,57.46,7.15,75.42,blackgram,25.75
18.88,18.04,33.51,26.75,93.68,5.46,142.67,coconut,78.78
19.69,22.62,32.95,21.94,85.68,6.77,108.82,pomegranate,29.96
78.71,53.65,44.1,26.52,76.01,6.97,144.76,jute,47.22
23.32,15.36,28.78,29.42,96.69,5.52,144.45,coconut,82.39
18.83,12.79,39.77,16.76,88.55,6.71,106.07,pomegranate,32.64
18.19,135.88,205.0,22.04,89.1,5.73,102.17,apple,62.55
83.94,51.8,22.55,19.79,63.45,6.91,79.75,maize,63.16
52.69,70.56,53.78,36.37,95.08,6.46,147.27,papaya,135.16
94.25,17.71,44.19,27.16,88.02,6.63,27.04,muskmelon,97.17
98.27,32.1,30.64,22.64,58.96,7.12,142.7,coffee,21.8
50.81,63.73,50.42,27.18,94.77,6.92,139.51,papaya,143.17
25.44,18.46,12.39,22.7,99.88,6.99,119.41,orange,60.35
46.72,53.12,57.93,31.65,89.57,7.16,126.52,papaya,126.98
41.3,70.39,89.65,20.52,14.0,7.96,88.11,chickpea,31.06
78.55,46.1,35.52,21.27,83.55,6.75,149.53,jute,48.48
15.81,42.89,14.61,28.5,85.75,7.04,53.27,mungbean,24.9
19.09,13.88,8.0,22.66,92.11,7.36,116.02,orange,62.0
19.01,62.92,24.59,25.61,61.43,5.93,116.06,pigeonpeas,27.36
77.25,44.99,42.72,23.94,76.72,6.04,257.88,rice,51.28
18.42,16.02,37.48,24.45,89.48,6.86,97.0,pomegranate,27.76
19.54,47.2,17.43,27.61,55.7,7.16,56.49,mothbeans,23.4
79.95,50.87,42.4,22.21,80.73,6.52,156.47,jute,50.46
21.96,69.35,16.91,25.37,64.52,6.88,52.06,lentil,24.67
81.7,49.56,28.72,22.62,72.66,6.01,182.32,jute,46.86
41.33,68.49,14.8,27.0,64.19,6.83,73.06,blackgram,23.9
73.46,41.74,44.81,23.36,76.84,6.47,194.0,jute,46.82
38.71,60.4,87.37,17.22,14.74,8.14,62.14,chickpea,30.37
41.35,69.56,85.0,16.81,14.0,6.8,60.48,chickpea,31.01
16.1,81.75,18.19,20.29,20.68,5.53,110.83,kidneybeans,29.88
53.33,58.74,59.86,32.86,90.14,6.46,133.06,papaya,141.61
19.21,25.67,28.27,34.22,54.46,6.12,98.23,mango,75.43
37.31,71.27,17.11,33.11,67.99,6.47,64.69,blackgram,24.71
81.29,47.8,18.6,23.19,61.32,5.78,70.65,maize,61.16
20.44,45.82,19.94,26.47,78.32,6.5,46.39,mungbean,25.03
81.41,47.98,21.15,20.02,61.07,6.37,87.7,maize,69.41
22.21,65.19,18.35,27.87,52.46,6.21,130.03,pigeonpeas,25.15
22.72,20.08,30.68,29.52,94.67,5.95,151.37,coconut,76.52
89.06,17.29,42.45,31.21,90.11,6.43,33.19,muskmelon,97.66
75.8,49.1,20.59,22.43,61.54,6.41,91.67,maize,66.9
28.67,67.1,14.52,29.0,76.01,7.09,81.33,blackgram,25.54
102.64,25.6,28.73,24.0,53.83,6.62,126.11,coffee,22.4
24.17,134.27,187.72,24.4,76.53,6.26,65.1,grapes,102.55
21.88,52.4,20.47,24.84,82.43,6.62,44.44,mungbean,23.47
104.97,27.44,27.34,27.4,51.33,7.24,153.55,coffee,22.58
22.05,62.66,18.03,19.85,25.87,5.32,125.82,kidneybeans,29.85
119.46,38.76,19.41,26.85,82.73,7.5,77.38,cotton,39.46
19.7,125.13,201.03,20.34,90.06,5.61,110.59,apple,69.29
106.28,93.0,47.11,28.42,82.96,6.45,118.76,banana,171.44
37.57,65.08,27.78,27.8,65.01,7.13,73.37,blackgram,25.46
101.74,63.36,48.69,26.5,85.81,6.29,45.02,watermelon,125.82
16.04,15.04,27.9,22.23,95.9,6.87,157.72,coconut,76.14
22.43,68.72,26.1,23.84,57.59,7.92,40.02,lentil,24.93
20.59,15.44,10.56,20.06,90.58,6.91,120.04,orange,62.68
45.65,63.09,47.09,31.13,90.0,5.92,136.09,papaya,135.68
22.7,75.81,19.33,28.0,42.25,5.97,158.82,pigeonpeas,28.44
18.95,19.71,12.47,19.99,96.32,7.14,114.36,orange,64.32
80.78,43.46,43.6,20.43,78.89,6.29,242.52,rice,53.04
95.41,15.23,52.19,25.71,90.23,6.73,20.0,muskmelon,104.2
24.11,59.26,21.28,25.07,39.11,5.14,148.33,pigeonpeas,25.43
88.39,17.11,46.42,28.84,93.46,6.65,25.17,muskmelon,95.34
18.17,11.37,35.54,27.2,91.13,6.59,174.88,coconut,75.25
86.37,53.18,36.92,23.44,73.91,6.86,200.88,jute,47.97
95.97,77.93,56.18,26.04,84.66,5.72,95.85,banana,188.95
37.76,62.04,15.41,30.54,71.09,7.08,58.61,blackgram,25.83
54.82,66.56,50.12,31.49,95.26,7.24,120.25,papaya,123.5
101.23,88.73,51.89,26.59,77.69,6.06,115.83,banana,178.32
110.86,44.24,13.33,25.59,81.78,7.15,64.55,cotton,39.3
97.21,51.14,44.05,23.0,82.26,6.34,54.46,watermelon,114.58
20.49,20.04,11.61,24.11,92.35,6.06,99.04,orange,57.42
94.57,33.3,25.19,24.39,54.08,6.9,156.68,coffee,22.99
43.94,69.51,73.8,17.94,15.96,6.97,59.7,chickpea,28.29
88.39,48.36,40.04,24.44,86.1,6.31,228.57,rice,57.4
